model,AUC-ROC,Average Precision (PR-AUC),F1,Precision,Recall
Logistic Regression,0.708399726434353,0.49080714083712057,0.46119361165592604,0.3670829616413916,0.6201959306706858
Random Forest,0.7754270189778507,0.551233557906045,0.5411764705882353,0.5003198976327575,0.5892991710625471
XGBoost,0.7751926239838247,0.547868850958717,0.5324546952224053,0.47306791569086654,0.6088922381311228
