top_k,samples,mean_jaccard,median_jaccard,std,bootstrap_ci_lower,bootstrap_ci_upper
3,200,0.3755000000000001,0.35,0.2271734776436801,0.34448750000000006,0.40900000000000003
5,200,0.415734126984127,0.4285714285714285,0.16862972645468938,0.3921225198412698,0.4389682539682539
10,200,0.4343700172376643,0.4285714285714285,0.11018713020505955,0.41934508995906056,0.44956330801551386
