age_group,mean,median,std,count,ci_lower,ci_upper
Under 30,0.43793650793650785,0.4285714285714285,0.18659624070066003,50,0.38841269841269843,0.49293650793650784
30-45,0.40634920634920635,0.4285714285714285,0.15997246280686864,50,0.36269841269841263,0.4507936507936507
45-60,0.41587301587301573,0.4285714285714285,0.16806071622392543,50,0.371031746031746,0.4623015873015872
60+,0.4027777777777776,0.4285714285714285,0.16145270022149252,50,0.35992063492063486,0.44761904761904747
