age_group,mean,std,count
Under 30,0.4379365079365079,0.18659624070066003,50
30-45,0.40634920634920635,0.1599724628068687,50
45-60,0.4158730158730159,0.1680607162239254,50
60+,0.4027777777777778,0.16145270022149252,50
