top_k,samples,mean_shap_stability,mean_lime_stability,mean_original_agreement,mean_perturbed_agreement,mean_agreement_change,std_shap_stability,std_lime_stability
3,200,0.935,0.818,0.4035,0.401,-0.0025,0.16857367952066443,0.2485657350141318
5,200,0.9476190476190476,0.7652380952380952,0.42061507936507936,0.43121031746031746,0.010595238095238093,0.12711367723565703,0.20087151584284932
10,200,0.9513286713286714,0.7380902430902431,0.4556293706293706,0.4531522644022644,-0.002477106227106226,0.09319075430249778,0.14245036219380364
